,RoomCount,Floor,Size(m2),District,Price(TL),Age_labeled
0,4,3.0,130.0,Akyurt,3450000,0
1,5,2.0,175.0,Akyurt,3975000,0
2,1,1.0,550.0,Akyurt,3600000,1
3,5,4.0,170.0,Akyurt,3705000,7
4,4,1.0,110.0,Akyurt,2099999,7
5,4,3.0,135.0,Akyurt,2700000,6
6,2,4.0,50.0,Akyurt,2925000,0
7,4,1.0,140.0,Akyurt,2050500,2
8,7,4.0,421.0,Akyurt,5250000,8
9,4,1.0,135.0,Akyurt,2043000,2
10,3,1.0,90.0,Akyurt,1425000,2
11,4,3.0,100.0,Akyurt,2175000,3
12,4,4.0,130.0,Akyurt,1650000,2
13,4,3.0,135.0,Akyurt,2002500,2
14,5,1.0,170.0,Akyurt,3225000,0
15,4,4.0,135.0,Akyurt,2325000,4
16,4,2.0,140.0,Akyurt,2662500,0
17,6,4.0,200.0,Akyurt,3750000,2
18,4,2.0,135.0,Akyurt,2325000,0
19,3,6.0,105.0,Akyurt,1875000,2
20,4,2.0,130.0,Akyurt,2250000,8
21,4,2.0,140.0,Akyurt,3000000,0
22,4,3.0,140.0,Akyurt,3150000,0
23,4,4.0,130.0,Akyurt,2100000,0
24,4,1.0,130.0,Akyurt,2700000,0
25,2,1.0,275.0,Akyurt,1110000,0
26,5,4.0,201.0,Akyurt,3150000,8
27,5,2.0,170.0,Akyurt,3150000,6
28,3,1.0,100.0,Akyurt,952500,3
29,4,2.0,117.0,Akyurt,2475000,2
30,4,1.0,117.0,Akyurt,1425000,3
31,4,2.0,135.0,Altındağ,3075000,7
32,3,1.0,120.0,Altındağ,2100000,7
33,4,0.0,145.0,Altındağ,2625000,0
34,5,3.0,200.0,Altındağ,3600000,1
35,4,5.0,145.0,Altındağ,3225000,8
36,4,3.0,130.0,Altındağ,3300000,8
37,4,2.0,133.0,Altındağ,6450000,0
38,3,1.0,125.0,Altındağ,1635000,8
39,5,2.0,180.0,Altındağ,3975000,8
40,4,2.0,135.0,Altındağ,3825000,1
41,4,4.0,160.0,Altındağ,4650000,0
42,4,3.0,120.0,Altındağ,3750000,0
43,5,4.0,160.0,Altındağ,2925000,8
44,3,7.0,100.0,Altındağ,2692500,3
45,4,2.0,120.0,Altındağ,6067500,8
46,4,1.0,145.0,Altındağ,2653500,6
47,4,5.0,140.0,Altındağ,3825000,7
48,4,1.0,135.0,Altındağ,3675000,7
50,3,14.0,98.0,Altındağ,2212500,8
51,4,1.0,115.0,Altındağ,1408500,5
52,3,-2.0,90.0,Altındağ,1477500,2
53,4,2.0,115.0,Altındağ,2550000,5
54,4,2.0,125.0,Altındağ,2700000,5
55,3,3.0,70.0,Altındağ,1318500,5
56,4,1.0,140.0,Altındağ,2677500,8
57,3,1.0,100.0,Altındağ,1350000,5
58,4,8.0,130.0,Altındağ,3525000,2
59,4,3.0,150.0,Altındağ,6727500,6
60,4,1.0,145.0,Altındağ,3555000,4
69,4,1.0,135.0,Altındağ,2233500,8
70,4,7.0,150.0,Altındağ,5025000,0
71,4,2.0,150.0,Altındağ,5625000,4
72,3,5.0,85.0,Altındağ,2025000,8
73,4,1.0,105.0,Altındağ,3705000,1
74,4,3.0,130.0,Altındağ,2775000,3
75,4,1.0,140.0,Altındağ,2347500,1
76,4,1.0,130.0,Altındağ,2842500,2
77,4,-1.0,125.0,Altındağ,2325000,7
78,3,0.0,93.0,Altındağ,1950000,8
79,4,1.0,135.0,Altındağ,1987500,7
80,3,10.0,90.0,Altındağ,2293500,2
81,3,2.0,100.0,Altındağ,2040000,2
82,4,1.0,130.0,Altındağ,2790000,8
83,3,1.0,100.0,Altındağ,2182500,2
84,4,1.0,175.0,Altındağ,4470000,6
85,4,2.0,145.0,Altındağ,3712500,7
86,4,5.0,150.0,Altındağ,4611000,0
